training_id,emp_id,department,training_type,training_date,duration_hours,completion_status,score,cost_per_person,trainer_type,certification
TRN00648,EMP00136,Operations,Excel & BI Tools,2022-05-11,4,Completed,70,50000,External,0
TRN00649,EMP01410,HR,Agile Scrum,2020-05-19,16,Completed,79,50000,Internal,0
TRN00650,EMP01558,Customer Success,Technical Skills,2020-11-08,24,Completed,54,50000,External,1
TRN00651,EMP01059,Marketing,Data Analysis,2021-10-27,8,Completed,67,15000,External,0
TRN00652,EMP01439,Finance,Technical Skills,2023-04-01,4,In Progress,63,5000,External,1
TRN00653,EMP01321,HR,Agile Scrum,2021-12-09,4,Completed,61,10000,External,0
TRN00654,EMP01578,Data Analytics,Excel & BI Tools,2021-02-15,40,Completed,64,25000,Online,1
TRN00655,EMP00917,Legal,Communication,2021-09-06,8,Not Started,72,50000,External,0
TRN00656,EMP00913,Operations,Project Management,2024-06-20,40,Not Started,56,10000,Online,0
TRN00657,EMP00654,HR,Compliance,2023-05-26,4,In Progress,61,50000,Online,1
TRN00658,EMP01269,Finance,Technical Skills,2023-04-01,4,Completed,50,10000,Online,0
TRN00659,EMP01076,Customer Success,Communication,2021-05-25,24,In Progress,65,5000,Online,1
TRN00660,EMP00663,HR,Excel & BI Tools,2020-11-04,16,Completed,93,10000,Internal,1
TRN00661,EMP00081,Engineering,Project Management,2020-08-17,16,Completed,88,15000,Online,1
TRN00662,EMP00870,HR,Sales Training,2021-02-21,16,Completed,84,25000,Internal,1
TRN00663,EMP01115,Operations,Compliance,2020-02-21,4,Completed,61,50000,Internal,0
TRN00664,EMP01262,Operations,Data Analysis,2024-11-21,16,Not Started,94,15000,Online,1
TRN00665,EMP00445,HR,Agile Scrum,2022-06-22,40,Completed,64,5000,External,0
TRN00666,EMP01377,Marketing,Leadership,2022-10-31,16,Completed,93,5000,Online,0
TRN00667,EMP01235,Legal,Sales Training,2022-05-31,8,In Progress,79,5000,External,0
TRN00668,EMP01363,Sales,Sales Training,2022-10-05,40,Completed,62,50000,Online,0
TRN00669,EMP01263,Product,Product Knowledge,2023-08-31,4,Completed,92,15000,Internal,0
TRN00670,EMP01599,Legal,Product Knowledge,2021-02-02,16,Completed,62,5000,External,1
TRN00671,EMP01231,Data Analytics,Data Analysis,2022-01-15,16,Completed,87,15000,External,0
TRN00672,EMP00357,Operations,Communication,2024-04-08,16,Completed,69,5000,Online,0
TRN00673,EMP01596,HR,Technical Skills,2023-05-22,8,Completed,93,15000,Internal,0
TRN00674,EMP00671,Sales,Product Knowledge,2024-08-31,4,Completed,75,15000,Internal,0
TRN00675,EMP00420,Customer Success,Communication,2020-12-26,24,In Progress,56,5000,Internal,0
TRN00676,EMP00901,Customer Success,Technical Skills,2022-12-22,24,Completed,75,10000,Internal,0
TRN00677,EMP00915,Customer Success,Leadership,2021-02-25,16,In Progress,59,15000,Online,1
TRN00678,EMP01980,Marketing,Agile Scrum,2022-07-09,8,Completed,63,50000,Online,0
TRN00679,EMP01507,Marketing,Technical Skills,2021-12-31,24,Completed,89,5000,Internal,1
TRN00680,EMP01524,Sales,Excel & BI Tools,2023-09-18,24,Completed,90,25000,Online,0
TRN00681,EMP01824,Engineering,Compliance,2020-02-20,4,Completed,76,5000,Internal,1
TRN00682,EMP00873,Sales,Excel & BI Tools,2023-06-19,40,Completed,79,10000,Internal,1
TRN00683,EMP00957,Data Analytics,Leadership,2021-06-29,24,Completed,74,15000,Online,0
TRN00684,EMP01850,Finance,Communication,2022-01-03,24,Not Started,82,15000,Online,0
TRN00685,EMP01108,Marketing,Compliance,2022-01-07,40,Completed,71,5000,Online,0
TRN00686,EMP00104,Product,Project Management,2021-01-23,4,Completed,69,25000,Internal,1
TRN00687,EMP01421,Legal,Communication,2022-05-23,4,Completed,72,50000,Online,0
TRN00688,EMP00739,Operations,Excel & BI Tools,2022-09-02,24,Completed,85,50000,External,1
TRN00689,EMP00859,Finance,Project Management,2022-09-02,24,Completed,76,10000,Online,1
TRN00690,EMP00641,Engineering,Excel & BI Tools,2022-02-04,8,Completed,57,15000,External,1
TRN00691,EMP00286,Engineering,Agile Scrum,2023-11-14,4,Completed,67,25000,Online,1
TRN00692,EMP00216,Data Analytics,Product Knowledge,2023-03-22,8,Completed,58,10000,Internal,0
TRN00693,EMP01450,Product,Leadership,2021-11-15,8,Completed,62,50000,Internal,1
TRN00694,EMP00603,Customer Success,Agile Scrum,2022-11-28,8,In Progress,82,50000,Online,1
TRN00695,EMP00154,Legal,Agile Scrum,2020-02-16,4,Completed,58,15000,External,0
TRN00696,EMP00784,Engineering,Data Analysis,2020-04-01,16,Completed,78,5000,External,1
TRN00697,EMP01155,Data Analytics,Excel & BI Tools,2024-04-26,24,Completed,78,25000,Internal,0
TRN00698,EMP00054,HR,Product Knowledge,2021-04-20,16,Completed,50,50000,Internal,1
TRN00699,EMP01765,Operations,Product Knowledge,2023-10-02,40,Completed,79,50000,Internal,0
TRN00700,EMP00282,Operations,Technical Skills,2021-08-05,16,In Progress,61,5000,Internal,1
TRN00701,EMP00016,Finance,Excel & BI Tools,2020-07-24,24,Completed,55,50000,Internal,0
TRN00702,EMP00746,Legal,Agile Scrum,2023-05-26,16,Completed,81,50000,Internal,1
TRN00703,EMP01303,Product,Excel & BI Tools,2021-05-18,8,Completed,88,25000,Internal,0
TRN00704,EMP00703,Sales,Agile Scrum,2024-01-30,16,Completed,62,5000,Internal,1
TRN00705,EMP00331,Finance,Project Management,2024-02-08,24,Completed,71,10000,Internal,0
TRN00706,EMP01964,Customer Success,Communication,2021-06-21,16,Completed,75,15000,Online,1
TRN00707,EMP00375,Operations,Sales Training,2021-01-02,4,Not Started,64,10000,External,0
TRN00708,EMP00083,Sales,Sales Training,2020-01-12,24,Completed,75,15000,Internal,1
TRN00709,EMP00454,Customer Success,Compliance,2021-11-15,8,Completed,58,50000,Online,0
TRN00710,EMP00269,Legal,Data Analysis,2020-04-14,16,Completed,79,50000,Online,0
TRN00711,EMP01271,Customer Success,Technical Skills,2022-01-26,4,Completed,78,15000,External,1
TRN00712,EMP01336,Customer Success,Compliance,2024-02-12,40,Completed,74,10000,External,0
TRN00713,EMP00975,Engineering,Excel & BI Tools,2021-02-02,8,Completed,74,5000,Internal,0
TRN00714,EMP01287,Customer Success,Communication,2020-08-27,40,Completed,82,10000,Online,1
TRN00715,EMP00424,Legal,Leadership,2020-06-13,24,Completed,80,10000,External,1
TRN00716,EMP01791,Engineering,Excel & BI Tools,2021-06-26,4,Completed,88,15000,Online,0
TRN00717,EMP01802,HR,Leadership,2022-03-01,40,Not Started,61,15000,Online,0
TRN00718,EMP01643,Legal,Technical Skills,2021-03-31,24,Completed,96,10000,External,0
TRN00719,EMP00860,Operations,Communication,2024-05-24,4,Not Started,91,15000,Online,0
TRN00720,EMP01517,Operations,Leadership,2024-06-01,8,Completed,56,5000,Online,0
TRN00721,EMP00496,Legal,Product Knowledge,2024-10-26,24,Completed,75,15000,Internal,0
TRN00722,EMP01071,Finance,Excel & BI Tools,2022-04-06,16,Completed,60,10000,Online,1
TRN00723,EMP01746,Engineering,Leadership,2021-11-16,8,Not Started,62,25000,External,0
TRN00724,EMP00305,Legal,Product Knowledge,2022-05-29,24,In Progress,77,5000,Internal,0
TRN00725,EMP01331,Marketing,Project Management,2024-01-02,24,Completed,84,10000,Internal,0
TRN00726,EMP01892,Legal,Data Analysis,2023-01-21,8,In Progress,50,25000,Online,0
TRN00727,EMP01989,Legal,Excel & BI Tools,2023-01-22,24,Completed,60,10000,Online,0
TRN00728,EMP01409,Legal,Communication,2020-01-29,4,Completed,79,5000,External,0
TRN00729,EMP01463,Customer Success,Data Analysis,2023-03-12,4,In Progress,51,50000,Online,0
TRN00730,EMP01816,Product,Excel & BI Tools,2022-12-21,8,Completed,81,15000,External,0
TRN00731,EMP00931,Operations,Agile Scrum,2021-08-26,24,Completed,57,25000,External,1
TRN00732,EMP00717,Product,Communication,2021-02-22,16,Completed,91,5000,External,0
TRN00733,EMP01126,HR,Agile Scrum,2022-08-26,40,Completed,75,50000,Online,0
TRN00734,EMP00690,Engineering,Technical Skills,2020-03-26,24,Completed,60,25000,Internal,0
TRN00735,EMP00144,Customer Success,Communication,2021-05-02,4,Completed,79,15000,Internal,0
TRN00736,EMP01534,Engineering,Leadership,2022-10-28,24,Completed,75,10000,External,0
TRN00737,EMP01720,Operations,Excel & BI Tools,2024-11-01,24,Not Started,60,25000,External,1
TRN00738,EMP01206,Marketing,Product Knowledge,2024-05-29,40,Completed,98,5000,Online,0
TRN00739,EMP01711,Customer Success,Product Knowledge,2022-02-24,24,Completed,97,15000,Internal,0
TRN00740,EMP01420,Sales,Product Knowledge,2020-03-10,24,Completed,78,5000,Online,0
TRN00741,EMP00370,Marketing,Technical Skills,2022-06-04,16,Completed,86,50000,Internal,0
TRN00742,EMP01569,HR,Compliance,2022-12-06,24,Completed,85,25000,Internal,1
TRN00743,EMP01017,Operations,Excel & BI Tools,2023-02-25,40,Completed,64,5000,External,1
TRN00744,EMP01623,Product,Compliance,2022-04-17,16,Not Started,72,5000,External,1
TRN00745,EMP01602,Engineering,Leadership,2020-10-25,4,Completed,59,25000,External,0
TRN00746,EMP00023,Finance,Product Knowledge,2024-06-23,40,In Progress,71,50000,Online,0
TRN00747,EMP01837,Data Analytics,Communication,2023-01-18,4,Completed,80,15000,External,0
TRN00748,EMP00781,Sales,Technical Skills,2023-11-28,8,In Progress,73,50000,Online,0
TRN00749,EMP00276,Finance,Agile Scrum,2020-11-27,16,Completed,82,10000,Online,1
TRN00750,EMP01033,Marketing,Data Analysis,2024-12-24,4,Completed,80,25000,External,0
TRN00751,EMP00065,Engineering,Technical Skills,2021-07-02,40,In Progress,78,50000,Online,0
TRN00752,EMP00852,Data Analytics,Communication,2021-11-15,8,Completed,61,10000,External,1
TRN00753,EMP01607,Marketing,Leadership,2021-10-23,24,Completed,94,25000,Internal,0
TRN00754,EMP00653,Customer Success,Agile Scrum,2022-11-06,4,Completed,73,15000,Online,0
TRN00755,EMP01353,Operations,Compliance,2022-07-31,40,Completed,90,50000,Internal,0
TRN00756,EMP01027,Customer Success,Compliance,2022-01-18,8,Not Started,96,15000,Internal,0
TRN00757,EMP00611,Marketing,Excel & BI Tools,2024-02-07,8,Completed,52,10000,Online,1
TRN00758,EMP01992,Marketing,Compliance,2020-11-10,40,Completed,71,5000,Internal,0
TRN00759,EMP01860,Engineering,Technical Skills,2022-07-15,24,Not Started,100,15000,External,0
TRN00760,EMP01971,Marketing,Leadership,2023-11-09,40,Completed,93,10000,Online,0
TRN00761,EMP00568,Product,Leadership,2024-05-14,4,In Progress,85,5000,External,1
TRN00762,EMP00637,Data Analytics,Compliance,2021-10-04,40,Completed,93,25000,Internal,0
TRN00763,EMP00465,Product,Product Knowledge,2022-05-01,40,In Progress,64,15000,External,1
TRN00764,EMP01664,Data Analytics,Technical Skills,2022-09-04,40,Completed,59,25000,Internal,0
TRN00765,EMP01757,Marketing,Leadership,2020-02-14,16,Completed,68,10000,Online,0
TRN00766,EMP01456,Sales,Agile Scrum,2024-10-30,8,Completed,74,15000,External,0
TRN00767,EMP00881,Customer Success,Leadership,2020-01-20,24,Completed,99,50000,Online,0
TRN00768,EMP01510,Engineering,Project Management,2020-08-09,8,Completed,88,50000,Online,0
TRN00769,EMP01875,Product,Communication,2024-02-04,4,Completed,100,5000,Online,0
TRN00770,EMP01932,Product,Project Management,2020-09-21,4,Completed,85,5000,External,1
TRN00771,EMP00979,Product,Compliance,2022-09-29,8,Not Started,92,25000,Internal,1
TRN00772,EMP01967,Legal,Agile Scrum,2022-10-16,8,Not Started,66,10000,External,0
TRN00773,EMP00875,Operations,Communication,2021-09-09,4,Not Started,73,15000,Internal,1
TRN00774,EMP00839,Product,Communication,2023-08-07,8,Completed,87,5000,Online,0
TRN00775,EMP00386,Data Analytics,Agile Scrum,2022-08-25,40,Completed,94,15000,Internal,1
TRN00776,EMP00231,Sales,Project Management,2020-03-17,24,Completed,85,50000,External,0
TRN00777,EMP00885,HR,Technical Skills,2020-03-04,24,In Progress,92,50000,Internal,1
TRN00778,EMP00550,HR,Excel & BI Tools,2024-04-13,8,Completed,89,25000,Online,0
TRN00779,EMP01400,Engineering,Leadership,2022-10-20,4,Completed,92,50000,External,0
TRN00780,EMP00432,Marketing,Technical Skills,2020-03-07,24,Completed,71,10000,External,0
TRN00781,EMP00927,Finance,Leadership,2023-09-02,40,Completed,54,10000,External,0
TRN00782,EMP00493,Sales,Compliance,2021-10-16,40,Completed,96,15000,Online,0
TRN00783,EMP00044,Finance,Technical Skills,2021-04-02,8,Completed,72,10000,External,1
TRN00784,EMP00131,Data Analytics,Agile Scrum,2022-04-19,4,Completed,99,15000,External,0
TRN00785,EMP01526,Customer Success,Agile Scrum,2021-12-02,40,Not Started,61,50000,External,0
TRN00786,EMP01794,Customer Success,Technical Skills,2020-02-29,24,Not Started,58,10000,Internal,0
TRN00787,EMP00792,Engineering,Product Knowledge,2021-08-24,4,Completed,73,15000,Online,0
TRN00788,EMP01343,Product,Project Management,2022-08-12,16,Completed,97,25000,External,0
TRN00789,EMP00658,Engineering,Leadership,2020-08-01,4,Completed,51,10000,Internal,1
TRN00790,EMP00296,Finance,Sales Training,2021-05-09,8,In Progress,70,15000,External,1
TRN00791,EMP01975,Customer Success,Communication,2024-08-07,8,Completed,58,5000,Online,0
TRN00792,EMP01620,Data Analytics,Compliance,2021-08-15,8,Completed,97,5000,Online,0
TRN00793,EMP01915,HR,Data Analysis,2020-04-10,4,Completed,95,10000,Online,1
TRN00794,EMP01153,Finance,Leadership,2023-09-01,24,Completed,87,15000,Internal,0
TRN00795,EMP01184,Product,Product Knowledge,2020-12-04,4,Completed,73,15000,Internal,1
TRN00796,EMP01259,Engineering,Compliance,2021-08-21,40,Not Started,53,5000,External,0
TRN00797,EMP01530,Sales,Data Analysis,2024-07-15,16,Completed,79,10000,External,0
TRN00798,EMP01888,Engineering,Data Analysis,2021-10-28,16,Not Started,76,25000,External,1
TRN00799,EMP01535,Finance,Communication,2024-02-16,4,Completed,82,10000,Internal,0
TRN00800,EMP00704,Data Analytics,Technical Skills,2022-03-30,8,Completed,90,50000,Internal,1
TRN00801,EMP00145,Engineering,Agile Scrum,2024-10-20,16,Completed,65,10000,External,1
TRN00802,EMP00668,Legal,Sales Training,2022-11-06,40,Completed,84,10000,External,0
TRN00803,EMP01787,HR,Excel & BI Tools,2022-03-04,16,Completed,77,5000,External,1
TRN00804,EMP00035,Customer Success,Agile Scrum,2021-01-24,8,Completed,80,15000,External,1
TRN00805,EMP00229,HR,Technical Skills,2022-10-08,8,Completed,96,25000,External,0
TRN00806,EMP01568,Finance,Project Management,2020-01-21,16,Completed,65,15000,External,0
TRN00807,EMP00965,Engineering,Sales Training,2023-11-30,16,Completed,69,50000,Online,0
TRN00808,EMP01257,Finance,Excel & BI Tools,2022-04-29,8,Completed,61,50000,Online,0
TRN00809,EMP00545,Product,Technical Skills,2021-12-06,24,Completed,100,50000,Online,0
TRN00810,EMP00630,Product,Excel & BI Tools,2021-07-12,40,Completed,57,25000,External,0
TRN00811,EMP01966,Engineering,Compliance,2020-06-13,16,Completed,92,10000,Online,0
TRN00812,EMP01176,Finance,Communication,2024-05-30,40,Completed,88,15000,Internal,0
TRN00813,EMP00207,Operations,Excel & BI Tools,2021-11-05,16,Completed,91,50000,External,0
TRN00814,EMP00071,Marketing,Leadership,2023-09-20,16,Not Started,59,5000,External,0
TRN00815,EMP00157,Data Analytics,Excel & BI Tools,2024-09-05,24,Completed,83,15000,Online,0
TRN00816,EMP01274,HR,Data Analysis,2021-04-04,4,Completed,60,10000,External,0
TRN00817,EMP01719,Operations,Project Management,2020-08-16,4,Completed,50,25000,External,1
TRN00818,EMP00464,Legal,Excel & BI Tools,2021-10-10,24,Completed,79,15000,External,0
TRN00819,EMP01918,Customer Success,Sales Training,2022-03-30,40,Completed,79,5000,Internal,0
TRN00820,EMP00105,Sales,Excel & BI Tools,2020-05-30,24,Completed,67,15000,External,1
TRN00821,EMP01905,Data Analytics,Communication,2024-03-01,24,Completed,89,50000,Internal,0
TRN00822,EMP00899,Data Analytics,Product Knowledge,2022-12-08,8,Completed,66,50000,Online,0
TRN00823,EMP00723,Sales,Project Management,2023-03-06,8,Not Started,57,5000,Online,1
TRN00824,EMP00031,Data Analytics,Product Knowledge,2024-11-06,40,Completed,91,5000,Internal,1
TRN00825,EMP00328,Engineering,Agile Scrum,2022-08-22,8,Completed,63,25000,External,1
TRN00826,EMP00743,Sales,Project Management,2024-02-28,40,Completed,64,15000,Internal,1
TRN00827,EMP01298,Customer Success,Data Analysis,2022-08-09,8,Completed,72,15000,Internal,1
TRN00828,EMP00161,Sales,Communication,2022-02-04,4,Completed,83,50000,External,1
TRN00829,EMP00214,Marketing,Project Management,2024-08-19,16,Completed,93,50000,External,1
TRN00830,EMP00484,Engineering,Product Knowledge,2022-12-18,8,Completed,87,5000,Internal,0
TRN00831,EMP01282,Engineering,Agile Scrum,2023-09-26,24,Completed,84,50000,External,1
TRN00832,EMP01991,Engineering,Technical Skills,2020-11-20,24,Completed,88,5000,Internal,1
TRN00833,EMP01239,Customer Success,Communication,2021-05-04,40,Completed,98,25000,Internal,1
TRN00834,EMP01729,Operations,Leadership,2021-12-05,8,Completed,86,5000,Online,0
TRN00835,EMP01448,Sales,Project Management,2021-11-10,40,Completed,57,25000,Online,1
TRN00836,EMP00028,Operations,Product Knowledge,2020-03-25,40,Completed,95,15000,Internal,0
TRN00837,EMP00341,Operations,Leadership,2022-12-16,4,Not Started,66,15000,Internal,0
TRN00838,EMP00930,Sales,Project Management,2022-07-04,24,Completed,81,25000,External,0
TRN00839,EMP01505,Engineering,Sales Training,2020-05-02,8,Completed,66,10000,External,0
TRN00840,EMP00541,Sales,Compliance,2024-07-22,16,Not Started,63,5000,External,0
TRN00841,EMP00979,Product,Excel & BI Tools,2020-05-19,40,Not Started,58,5000,Online,0
TRN00842,EMP00570,Finance,Project Management,2024-04-08,40,Not Started,67,15000,External,1
TRN00843,EMP00706,Sales,Communication,2024-12-19,16,In Progress,85,25000,External,1
TRN00844,EMP01802,HR,Project Management,2021-02-07,24,Completed,95,5000,Internal,0
TRN00845,EMP01236,Product,Agile Scrum,2024-01-10,4,Not Started,90,5000,Internal,0
TRN00846,EMP00033,Sales,Data Analysis,2022-06-29,4,Completed,99,50000,Online,1
TRN00847,EMP00778,Product,Sales Training,2021-05-12,40,Completed,93,5000,Internal,0
TRN00848,EMP01689,Product,Product Knowledge,2022-01-07,40,Completed,70,25000,External,1
TRN00849,EMP00580,Marketing,Compliance,2020-11-04,40,Completed,77,5000,Internal,1
TRN00850,EMP00459,Product,Data Analysis,2023-04-04,8,Completed,84,10000,External,0
TRN00851,EMP00739,Operations,Agile Scrum,2020-07-18,24,Completed,54,15000,External,0
TRN00852,EMP00923,Marketing,Product Knowledge,2022-03-29,16,Completed,64,15000,Internal,0
TRN00853,EMP00452,Legal,Technical Skills,2022-07-29,16,Completed,90,10000,Internal,1
TRN00854,EMP00473,Legal,Project Management,2024-09-12,8,In Progress,83,15000,Online,1
TRN00855,EMP00802,Operations,Communication,2021-03-30,40,Completed,74,5000,Online,0
TRN00856,EMP01549,Product,Product Knowledge,2021-06-12,40,Completed,100,25000,Online,1
TRN00857,EMP00593,Legal,Product Knowledge,2021-02-06,8,Completed,75,10000,Internal,1
TRN00858,EMP01031,Engineering,Product Knowledge,2022-01-26,24,Completed,81,50000,Online,1
TRN00859,EMP01602,Engineering,Communication,2022-07-16,4,Completed,69,15000,Internal,0
TRN00860,EMP01968,Product,Leadership,2021-01-25,40,Completed,52,15000,External,0
TRN00861,EMP01244,Engineering,Project Management,2022-07-07,40,Completed,62,10000,External,1
TRN00862,EMP01910,Operations,Project Management,2024-05-11,8,Completed,56,10000,Internal,0
TRN00863,EMP01428,Engineering,Sales Training,2024-12-30,16,Completed,98,50000,External,1
TRN00864,EMP01796,Legal,Data Analysis,2023-01-09,24,Completed,62,15000,External,1
TRN00865,EMP00141,Finance,Compliance,2022-07-11,24,Not Started,86,10000,Online,0
TRN00866,EMP01140,Operations,Compliance,2023-07-03,24,Completed,61,5000,Internal,1
TRN00867,EMP01615,Product,Data Analysis,2023-10-23,16,Completed,68,25000,External,0
TRN00868,EMP00018,Finance,Leadership,2020-06-18,24,Completed,68,5000,Internal,1
TRN00869,EMP01971,Marketing,Leadership,2024-12-26,40,Completed,94,50000,Online,1
TRN00870,EMP01736,HR,Data Analysis,2024-03-13,16,In Progress,91,25000,Internal,0
TRN00871,EMP00625,Operations,Data Analysis,2021-02-20,4,Completed,94,50000,External,0
TRN00872,EMP01952,Finance,Data Analysis,2023-01-05,8,Completed,53,50000,External,1
TRN00873,EMP00902,Sales,Agile Scrum,2024-04-21,8,Completed,65,15000,Online,1
TRN00874,EMP01673,Marketing,Excel & BI Tools,2022-12-15,8,Not Started,88,50000,Internal,1
TRN00875,EMP00494,Engineering,Sales Training,2024-03-15,40,Completed,85,10000,Internal,0
TRN00876,EMP01431,Operations,Project Management,2020-02-11,8,Completed,68,5000,External,0
TRN00877,EMP01019,Customer Success,Leadership,2021-05-26,4,Completed,89,25000,Online,0
TRN00878,EMP00306,Data Analytics,Data Analysis,2021-09-06,16,Completed,59,25000,Online,0
TRN00879,EMP01266,Engineering,Technical Skills,2020-09-13,24,Completed,81,50000,Online,0
TRN00880,EMP01197,Sales,Excel & BI Tools,2020-04-03,16,Completed,58,10000,Online,1
TRN00881,EMP00629,Customer Success,Communication,2020-07-23,40,Completed,66,5000,External,0
TRN00882,EMP01069,Data Analytics,Agile Scrum,2023-05-22,4,Completed,82,10000,Internal,0
TRN00883,EMP01458,Sales,Compliance,2024-04-08,16,Completed,92,50000,Internal,0
TRN00884,EMP00238,Product,Project Management,2022-08-23,16,In Progress,73,5000,Online,0
TRN00885,EMP01283,Engineering,Project Management,2021-03-19,24,Completed,52,50000,External,1
TRN00886,EMP01231,Data Analytics,Agile Scrum,2020-10-10,40,Completed,91,5000,External,0
TRN00887,EMP01075,Product,Product Knowledge,2024-01-22,8,Completed,96,15000,Online,0
TRN00888,EMP00957,Data Analytics,Communication,2020-09-24,40,Completed,53,15000,Online,1
TRN00889,EMP01094,Engineering,Leadership,2023-04-03,8,In Progress,83,10000,Internal,0
TRN00890,EMP01009,Finance,Leadership,2021-06-24,40,Not Started,54,10000,Online,1
TRN00891,EMP00010,Data Analytics,Sales Training,2021-05-05,40,In Progress,88,25000,Internal,0
TRN00892,EMP01733,Finance,Agile Scrum,2021-01-29,40,Completed,79,15000,Online,1
TRN00893,EMP01101,Legal,Technical Skills,2022-05-02,8,Completed,88,15000,Online,0
TRN00894,EMP01065,Product,Excel & BI Tools,2024-02-17,24,Completed,61,10000,External,0
TRN00895,EMP00381,Engineering,Leadership,2023-07-03,40,Completed,62,15000,Internal,0
TRN00896,EMP00671,Sales,Excel & BI Tools,2023-02-01,24,In Progress,69,5000,External,0
TRN00897,EMP01456,Sales,Excel & BI Tools,2024-05-20,16,Completed,89,25000,External,0
TRN00898,EMP01963,Engineering,Agile Scrum,2020-01-22,16,Completed,66,15000,External,0
TRN00899,EMP00427,Sales,Technical Skills,2024-07-01,8,Completed,68,10000,External,0
TRN00900,EMP01487,Operations,Product Knowledge,2020-02-25,40,Not Started,86,10000,Internal,1
TRN00901,EMP00890,Legal,Excel & BI Tools,2024-04-13,40,Completed,62,25000,External,1
TRN00902,EMP00130,Engineering,Technical Skills,2020-11-27,4,Completed,82,50000,External,0
TRN00903,EMP00001,Sales,Compliance,2021-07-01,24,Completed,84,50000,Internal,0
TRN00904,EMP00592,Marketing,Excel & BI Tools,2021-08-16,40,Completed,70,50000,Online,0
TRN00905,EMP01544,Data Analytics,Project Management,2022-10-30,40,Completed,76,10000,Internal,1
TRN00906,EMP01098,Marketing,Compliance,2020-02-17,16,Completed,94,25000,External,1
TRN00907,EMP01609,Marketing,Project Management,2024-08-28,24,Completed,52,15000,Online,1
TRN00908,EMP01294,HR,Excel & BI Tools,2024-08-16,40,Completed,53,10000,External,1
TRN00909,EMP01380,Customer Success,Compliance,2020-11-27,8,In Progress,77,25000,External,1
TRN00910,EMP01810,Engineering,Leadership,2021-02-27,16,In Progress,79,5000,External,1
TRN00911,EMP01010,Sales,Excel & BI Tools,2021-09-21,40,Completed,81,5000,External,1
TRN00912,EMP00400,HR,Product Knowledge,2022-04-17,16,Completed,91,50000,External,0
TRN00913,EMP00278,Product,Leadership,2023-05-17,8,Completed,99,25000,Online,0
TRN00914,EMP00979,Product,Leadership,2020-05-18,4,Completed,56,5000,Online,1
TRN00915,EMP01980,Marketing,Agile Scrum,2023-06-24,40,Completed,62,10000,Internal,1
TRN00916,EMP00480,Finance,Leadership,2021-02-08,4,Not Started,72,50000,External,1
TRN00917,EMP00671,Sales,Sales Training,2020-04-16,40,Completed,84,25000,External,0
TRN00918,EMP00809,Sales,Compliance,2024-02-27,8,Completed,96,25000,External,1
TRN00919,EMP00046,Engineering,Compliance,2020-07-27,8,Completed,81,15000,Internal,1
TRN00920,EMP01355,Finance,Compliance,2022-07-24,24,Completed,80,25000,External,0
TRN00921,EMP00140,Legal,Product Knowledge,2022-01-07,24,Completed,96,10000,External,1
TRN00922,EMP01852,Data Analytics,Product Knowledge,2020-06-23,16,Completed,56,5000,External,0
TRN00923,EMP01393,Operations,Excel & BI Tools,2024-11-10,40,Completed,91,15000,Internal,0
TRN00924,EMP01634,Legal,Agile Scrum,2024-12-28,40,Completed,98,10000,Online,0
TRN00925,EMP01454,Marketing,Excel & BI Tools,2021-10-17,4,In Progress,77,10000,Internal,1
TRN00926,EMP01325,Product,Communication,2024-07-03,16,Completed,82,50000,Internal,1
TRN00927,EMP00452,Legal,Excel & BI Tools,2024-03-31,16,In Progress,80,50000,External,0
TRN00928,EMP00239,Sales,Sales Training,2024-03-20,24,Completed,71,15000,Internal,0
TRN00929,EMP00399,Finance,Project Management,2021-12-31,16,Completed,65,25000,Online,0
TRN00930,EMP00501,Customer Success,Leadership,2024-01-13,16,Completed,50,10000,External,1
TRN00931,EMP01421,Legal,Sales Training,2023-11-30,40,Completed,68,50000,Internal,1
TRN00932,EMP00307,Product,Project Management,2021-09-28,8,Completed,75,25000,Internal,0
TRN00933,EMP01993,Product,Leadership,2023-08-21,16,Completed,81,10000,Internal,1
TRN00934,EMP01827,Customer Success,Sales Training,2022-10-02,4,Completed,94,15000,Internal,0
TRN00935,EMP01225,Engineering,Product Knowledge,2022-03-13,40,In Progress,85,5000,Online,0
TRN00936,EMP01356,Marketing,Leadership,2024-07-04,16,In Progress,98,15000,Internal,0
TRN00937,EMP01931,Operations,Leadership,2022-10-28,40,Completed,78,5000,Online,0
TRN00938,EMP00497,Data Analytics,Leadership,2022-12-06,16,Completed,57,10000,Internal,1
TRN00939,EMP00742,Operations,Data Analysis,2023-04-01,24,Completed,82,5000,Online,1
TRN00940,EMP01719,Operations,Product Knowledge,2024-10-15,24,Completed,62,15000,Internal,0
TRN00941,EMP01291,Finance,Technical Skills,2023-10-14,4,Completed,57,15000,Internal,0
TRN00942,EMP00401,Engineering,Sales Training,2020-05-13,24,Completed,86,25000,Online,0
TRN00943,EMP01098,Marketing,Technical Skills,2021-10-27,24,Completed,98,25000,Internal,0
TRN00944,EMP01326,Sales,Agile Scrum,2023-06-01,24,Completed,83,25000,Internal,0
TRN00945,EMP00786,Product,Leadership,2022-03-01,4,Completed,51,5000,Internal,1
TRN00946,EMP01408,Sales,Sales Training,2022-04-03,40,Completed,56,10000,Internal,1
TRN00947,EMP00115,Sales,Communication,2022-09-08,8,Completed,67,10000,Online,0
TRN00948,EMP00948,HR,Excel & BI Tools,2021-07-23,40,Completed,87,10000,External,1
